0.05495409667 0.006809703074 1 0  0.6518725157 -0.414472729 0.7066254616 -0.4210794866  1.037126184 -0.5825207233
0.05559042841 0.006785217207 1 0  0.6612996459 -0.4169337749 0.7168328166 -0.4233376086  1.038164973 -0.5800703764
0.05623412505 0.006755417679 1 0  0.6705457568 -0.4193472564 0.7268656492 -0.4255552292  1.039212584 -0.5776698589
0.05688529089 0.006720587611 1 0  0.6796088219 -0.4217117727 0.7367216945 -0.4277306795  1.040267229 -0.5753204823
0.057543993 0.006681023631 1 0  0.6884869337 -0.4240262508 0.7463991642 -0.4298626184  1.041328788 -0.5730232
0.05821032077 0.006637012586 1 0  0.6971792579 -0.426289767 0.7558974028 -0.4319499433  1.042398214 -0.5707788467
0.05888437107 0.006588836666 1 0  0.7056850791 -0.4285018444 0.7652156949 -0.4339919388  1.043474555 -0.5685877204
0.05956621096 0.006536780391 1 0  0.714004159 -0.4306619763 0.7743540406 -0.4359879196  1.044557929 -0.5664502382
0.06025596708 0.006481120829 1 0  0.7221367359 -0.4327699542 0.783313036 -0.4379374087  1.045647264 -0.5643665195
0.0609536916 0.006422128994 1 0  0.7300836444 -0.4348256886 0.792093277 -0.4398402274  1.046743631 -0.5623364449
0.0616595 0.006360066123 1 0  0.73784554 -0.4368294179 0.8006960154 -0.441696167  1.04784584 -0.5603597164
0.06237348169 0.00629518507 1 0  0.7454239726 -0.4387812316 0.8091226816 -0.4435053766  1.048955083 -0.5584362745
0.06309573352 0.006227734033 1 0  0.7528201342 -0.4406816065 0.8173747659 -0.4452679753  1.050070167 -0.5565651655
0.06382634491 0.006157946307 1 0  0.7600360513 -0.4425309896 0.8254545331 -0.4469843507  1.051192522 -0.5547462702
0.0645654276 0.006086051464 1 0  0.7670735717 -0.4443298578 0.8333640695 -0.4486547112  1.05232048 -0.5529786944
0.06531306356 0.006012263708 1 0  0.7739348412 -0.4460789561 0.8411056995 -0.4502796829  1.053454757 -0.551261723
0.06606933475 0.005936788861 1 0  0.7806221247 -0.4477790296 0.8486819863 -0.4518597722  1.054594636 -0.5495946407
0.06683439016 0.005859825294 1 0  0.7871380448 -0.4494307935 0.8560956717 -0.4533956349  1.055742979 -0.5479763746
0.06760829687 0.005781559274 1 0  0.7934852839 -0.4510351419 0.8633492589 -0.4548879266  1.056896091 -0.5464060903
0.06839116663 0.005702166818 1 0  0.7996660471 -0.4525929093 0.8704460859 -0.4563373327  1.058057308 -0.5448830128
0.06918310374 0.005621816497 1 0  0.8056834936 -0.4541050494 0.8773888946 -0.4577446878  1.059224248 -0.5434058905
